NIES	National Institute of Environmental Studies			Tsukuba	Japan	National Institute of Environmental Studies, Tsukuba, Japan
NIID	National Institute of Infectious Diseases	Department of Medical Entomology		Tokyo	Japan	National Institute of Infectious Diseases, Department of Medical Entomology, Tokyo, Japan
NMB	Naturhistorisches Museum	Entomology Department		Basel	Switzerland	Naturhistorisches Museum, Entomology Department, Basel, Switzerland
NMBA	Naturhistorisches Museum		Benediktinerstift Admont 	Admont	Austria	Naturhistorisches Museum, Admont, Austria
NMBS	Naturhistorisches Museum			Bern	Switzerland	Naturhistorisches Museum, Bern, Switzerland
NMBZ	The Natural History Museum	Invertebrate Collection		Bulawayo	Zimbabwe	The Natural History Museum, Invertebrate Collection, Bulawayo, Zimbabwe
NMCL	Naturkunde-Museum Coburg			Coburg	Germany	Naturkunde-Museum Coburg, Coburg, Germany
NME	Naturkundemuseum Erfurt			Erfurt	Germany	Naturkundemuseum Erfurt, Erfurt, Germany
NMI	National Museum of Ireland	Insect Collection		Dublin	Ireland	National Museum of Ireland, Insect Collection, Dublin, Ireland
NMKE	National Museums of Kenya	Department of Invertebrate Zoology		Nairobi	Kenya	National Museums of Kenya, Department of Invertebrate Zoology, Nairobi, Kenya
NMKL	National Museum			Kuala Lumpur	Malaysia	National Museum, Kuala Lumpur, Malaysia
NMNHM	National Museum of Natural History			Mdina 	Malta	National Museum of Natural History, Mdina, Malta
NMNS	National Museum of Natural Science			Taichung	Taiwan	National Museum of Natural Science, Taichung, Taiwan
NMP	Natal Museum			Pietermaritzburg	South Africa	Natal Museum, Pietermaritzburg, South Africa
NMPC	Natural History Museum	Department of Entomology	National Museum	Prague	Czech Republic	Natural History Museum, Department of Entomology, National Museum, Prague, Czech Republic
NMSC	Department of Biological Sciences	Zoological Reference Collection	National University of Singapore	Singapore	Singapore	Department of Biological Sciences, Zoological Reference Collection, National University of Singapore, Singapore, Singapore
NMW	Naturhistorisches Museum Wien	International Research Institute for Entomology		Vienna	Austria	Naturhistorisches Museum Wien, International Research Institute for Entomology, Vienna, Austria
NMWC	National Museum and Galleries of Wales	Entomology Section, Department of Biodiversity & Systematic Biology		Cardiff	United Kingdom	National Museum and Galleries of Wales, Entomology Section, Department of Biodiversity & Systematic Biology, Cardiff, United Kingdom
NRS	Naturhistoriska Riksmuseet	Sektionen for Entomologi		Stockholm	Sweden	Naturhistoriska Riksmuseet, Sektionen for Entomologi, Stockholm, Sweden
NSMT	National Science Museum	Department of Zoology		Tokyo	Japan	National Science Museum, Department of Zoology, Tokyo, Japan
NTU	Department of Zoology-Entomology		National Taiwan University	Taipei	Taiwan	Department of Zoology-Entomology, Taipei, Taiwan
NTUTM	Department of Tropical Medicine		National Taiwan University	Taipei	Taiwan	Department of Tropical Medicine, Taipei, Taiwan
NYBG	New York Botanical Garden			New York	United States	New York Botanical Garden, New York, United States
NYSM	New York State Museum	Entomology Collection 		Albany	United States	New York State Museum, Entomology Collection, Albany, United States
NZAC	New Zealand Arthropod Collection	Entomology Division	Landcare Research	Auckland	New Zealand	New Zealand Arthropod Collection, Entomology Division, Landcare Research, Auckland, New Zealand
OHSU	Museum of Biological Diversity	Ohio State Insect Collection	Ohio State University	Columbus	United States	Museum of Biological Diversity, Ohio State Insect Collection, Ohio State University, Columbus, United States
OKAC	Okayama Agricultural College			Okayama	Japan	Okayama Agricultural College, Okayama, Japan
OLML	Oberosterreichisches Landesmuseum			Linz	Austria	Oberosterreichisches Landesmuseum, Linz, Austria
OMNH	Osaka Museum of Natural History			Osaka	Japan	Osaka Museum of Natural History, Osaka, Japan
OMNZ	Otago Museum			Dunedin	New Zealand	Otago Museum, Dunedin, New Zealand
ORST	ORSTOM	Service Scientific Central d'Entomologie Agricole		Seine	France	ORSTOM, Service Scientific Central d'Entomologie Agricole, Seine, France
ORSU	Department of Entomology	Collection	Oregon State University	Corvallis	United States	Department of Entomology, Collection, Oregon State University, Corvallis, United States
OUA	Obihiro University of Agriculture and Veterinary Medicine			Obihiro	Japan	Obihiro University of Agriculture and Veterinary Medicine, Obihiro, Japan
OUJ	Faculty of Medicine	Department of Infectious Disease Control	Oita University	Oita	Japan	Faculty of Medicine, Department of Infectious Disease Control, Oita University, Oita, Japan
PACL	Department of Entomology	Faculty of Agriculture	University of Agriculture	Faisalabad	Pakistan	Department of Entomology, Faculty of Agriculture, University of Agriculture, Faisalabad, Pakistan
PAN	Museum of the Institute of Zoology		Polish Academy of Sciences	Warsaw	Poland	Museum of the Institute of Zoology, Warsaw, Poland
PCZM	Zoological Museum		Presidency College	Calcutta	India	Zoological Museum, Calcutta, India
PIG	Institut Pasteur de la Guyane			Cayenne	French Guiana	Institut Pasteur de la Guyane, Cayenne, French Guiana
PIN	Paleontological Institute		Russian Academy of Science	Moscow	Russia	Paleontological Institute, Moscow, Russia
